transaction_id,date,customer_id,customer_segment,product_category,quantity,unit_price,discount,discounted_price,total_amount,payment_method,satisfaction_score
25,2023-06-02 00:00:00,444,New,Books,2,27.06,0.0,27.06,54.12,Credit Card,4.74
26,2023-06-02 00:00:00,128,New,Books,1,43.21,0.0,43.21,43.21,Debit Card,3.45
27,2023-06-02 01:00:00,691,New,Books,1,24.95,0.0,24.95,24.95,Credit Card,3.76
28,2023-06-02 02:00:00,405,New,Books,1,16.69,0.0,16.69,16.69,Credit Card,4.91
29,2023-06-02 03:00:00,392,Regular,Electronics,1,723.32,0.0,723.32,723.32,Digital Wallet,3.4
30,2023-06-02 03:00:00,193,Regular,Clothing,3,28.81,0.0,28.81,86.43,Credit Card,4.72
31,2023-06-02 04:00:00,604,Premium,Sports & Outdoors,2,174.53,0.0,174.53,349.06,Credit Card,3.92
32,2023-06-02 08:00:00,881,New,Sports & Outdoors,1,97.33,0.0,97.33,97.33,Credit Card,4.96
33,2023-06-02 10:00:00,743,Regular,Sports & Outdoors,1,99.73,0.0,99.73,99.73,Credit Card,3.35
34,2023-06-02 11:00:00,78,Regular,Clothing,1,41.74,0.0,41.74,45.91400000000001,Credit Card,4.06
35,2023-06-02 14:00:00,85,New,Books,1,19.38,0.0,19.38,21.318,Credit Card,4.05
36,2023-06-02 16:00:00,30,Premium,Books,1,35.33,0.0,35.33,38.863,Credit Card,4.03
37,2023-06-02 18:00:00,725,New,Home & Garden,1,117.02,0.2,93.61,102.971,Credit Card,3.82
38,2023-06-02 18:00:00,49,Premium,Sports & Outdoors,1,104.17,0.0,104.17,114.58700000000002,Credit Card,4.35
39,2023-06-02 19:00:00,777,Premium,Sports & Outdoors,1,145.6,0.0,145.6,160.16,Debit Card,3.4
40,2023-06-02 20:00:00,145,Regular,Books,1,34.78,0.0,34.78,34.78,Credit Card,3.51
41,2023-06-02 20:00:00,69,Regular,Sports & Outdoors,2,114.72,0.0,114.72,229.44,Digital Wallet,2.76
42,2023-06-02 20:00:00,58,Regular,Books,1,25.96,0.0,25.96,25.96,Debit Card,3.82
43,2023-06-03 01:00:00,697,Regular,Books,1,25.11,0.0,25.11,30.131999999999998,Debit Card,4.26
44,2023-06-03 03:00:00,574,Regular,Books,2,29.24,0.0,29.24,70.17599999999999,Debit Card,4.33
45,2023-06-03 04:00:00,479,New,Electronics,2,441.01,0.0,441.01,1058.424,Credit Card,3.45
46,2023-06-03 04:00:00,820,New,Electronics,1,693.6,0.0,693.6,832.32,Cash,2.85
47,2023-06-03 05:00:00,445,Regular,Electronics,1,546.6,0.1,491.94,590.328,Credit Card,3.4
48,2023-06-03 12:00:00,296,Regular,Electronics,1,321.66,0.0,321.66,424.5912000000001,Credit Card,3.41
49,2023-06-03 12:00:00,678,Premium,Clothing,2,39.81,0.2,31.85,84.084,Credit Card,5.0
50,2023-06-03 12:00:00,171,New,Home & Garden,1,134.59,0.0,134.59,177.6588,Digital Wallet,3.41
51,2023-06-03 14:00:00,575,Premium,Home & Garden,1,170.76,0.1,153.68,202.85760000000002,Cash,3.78
52,2023-06-03 18:00:00,147,New,Books,1,28.49,0.0,28.49,37.6068,Digital Wallet,4.18
53,2023-06-03 18:00:00,484,Regular,Sports & Outdoors,1,52.85,0.0,52.85,69.762,Debit Card,3.6
54,2023-06-03 19:00:00,306,Regular,Electronics,1,630.98,0.0,630.98,832.8936000000001,Cash,3.3
55,2023-06-03 19:00:00,673,Regular,Home & Garden,3,136.47,0.0,136.47,540.4212000000001,Credit Card,3.2
56,2023-06-03 19:00:00,653,New,Home & Garden,1,46.71,0.0,46.71,61.6572,Debit Card,4.22
57,2023-06-03 21:00:00,846,Regular,Electronics,3,870.08,0.0,870.08,3132.2879999999996,Cash,2.7
58,2023-06-03 23:00:00,609,Premium,Clothing,1,13.71,0.0,13.71,16.452,Digital Wallet,3.83
59,2023-06-03 23:00:00,446,Regular,Clothing,3,21.78,0.0,21.78,78.408,Credit Card,4.05
60,2023-06-03 23:00:00,221,Regular,Home & Garden,1,180.72,0.0,180.72,216.864,Digital Wallet,3.68
61,2023-06-04 00:00:00,555,Premium,Clothing,1,57.62,0.1,51.86,62.232,Credit Card,4.14
62,2023-06-04 00:00:00,945,Regular,Electronics,1,573.03,0.1,515.72,618.864,Credit Card,3.95
63,2023-06-04 00:00:00,804,Regular,Home & Garden,3,76.97,0.0,76.97,277.092,Digital Wallet,5.0
64,2023-06-04 00:00:00,378,New,Electronics,2,140.81,0.0,140.81,337.944,Credit Card,2.66
65,2023-06-04 02:00:00,620,Premium,Clothing,1,73.36,0.0,73.36,88.032,Credit Card,4.0
66,2023-06-04 03:00:00,266,Regular,Electronics,1,745.95,0.1,671.35,805.62,Debit Card,2.66
67,2023-06-04 05:00:00,95,New,Clothing,1,48.17,0.0,48.17,57.804,Debit Card,3.98
68,2023-06-04 06:00:00,262,New,Clothing,1,61.03,0.2,48.82,58.583999999999996,Credit Card,4.74
69,2023-06-04 10:00:00,825,Premium,Electronics,1,499.74,0.0,499.74,599.688,Credit Card,4.67
70,2023-06-04 10:00:00,897,New,Clothing,1,94.49,0.0,94.49,113.38799999999999,Digital Wallet,3.92
71,2023-06-04 11:00:00,71,Premium,Books,1,15.15,0.0,15.15,19.998,Credit Card,4.27
72,2023-06-04 13:00:00,954,New,Electronics,1,328.88,0.0,328.88,434.12160000000006,Debit Card,3.28
73,2023-06-04 14:00:00,219,Regular,Books,1,22.48,0.0,22.48,29.6736,Cash,3.71
74,2023-06-04 17:00:00,533,Regular,Electronics,1,359.47,0.0,359.47,474.50040000000007,Debit Card,3.18
75,2023-06-04 17:00:00,92,Regular,Clothing,1,30.91,0.0,30.91,40.8012,Credit Card,3.82
76,2023-06-04 18:00:00,127,Premium,Clothing,1,66.93,0.0,66.93,88.34760000000001,Credit Card,3.89
77,2023-06-04 22:00:00,80,Regular,Home & Garden,1,68.01,0.2,54.41,65.29199999999999,Debit Card,5.0
78,2023-06-05 01:00:00,824,Regular,Home & Garden,2,128.95,0.0,128.95,257.9,Digital Wallet,3.86
79,2023-06-05 02:00:00,238,New,Books,2,13.37,0.0,13.37,26.74,Debit Card,4.48
80,2023-06-05 09:00:00,983,New,Clothing,1,25.56,0.0,25.56,25.56,Credit Card,4.34
81,2023-06-05 13:00:00,372,New,Home & Garden,1,50.63,0.1,45.56,50.11600000000001,Credit Card,4.83
82,2023-06-05 13:00:00,916,Regular,Clothing,1,39.41,0.0,39.41,43.351,Credit Card,3.22
83,2023-06-05 14:00:00,486,New,Electronics,1,646.65,0.0,646.65,711.315,Digital Wallet,3.43
84,2023-06-05 16:00:00,694,New,Home & Garden,1,95.94,0.0,95.94,105.534,Debit Card,4.2
85,2023-06-05 17:00:00,25,Regular,Books,2,7.32,0.0,7.32,16.104000000000003,Credit Card,4.17
86,2023-06-05 18:00:00,156,Regular,Home & Garden,1,126.0,0.0,126.0,138.60000000000002,Digital Wallet,4.58
87,2023-06-05 19:00:00,517,Regular,Clothing,1,55.81,0.0,55.81,61.391000000000005,Debit Card,4.08
88,2023-06-05 19:00:00,632,New,Sports & Outdoors,1,59.84,0.0,59.84,65.82400000000001,Digital Wallet,4.58
89,2023-06-05 19:00:00,789,New,Sports & Outdoors,1,78.02,0.0,78.02,85.822,Debit Card,4.19
90,2023-06-05 19:00:00,530,Premium,Clothing,1,57.37,0.0,57.37,63.107,Debit Card,4.26
91,2023-06-06 00:00:00,943,New,Electronics,3,550.47,0.0,550.47,1651.41,Debit Card,3.56
92,2023-06-06 01:00:00,710,Premium,Home & Garden,1,160.44,0.0,160.44,160.44,Digital Wallet,3.89
93,2023-06-06 03:00:00,57,Premium,Sports & Outdoors,1,106.45,0.0,106.45,106.45,Digital Wallet,4.85
94,2023-06-06 04:00:00,605,Regular,Electronics,1,612.31,0.0,612.31,612.31,Digital Wallet,3.84
95,2023-06-06 04:00:00,19,New,Clothing,1,62.09,0.0,62.09,62.09,Credit Card,4.1
96,2023-06-06 05:00:00,384,Premium,Electronics,1,296.78,0.1,267.1,267.1,Debit Card,4.07
97,2023-06-06 06:00:00,865,Regular,Clothing,1,37.39,0.0,37.39,37.39,Credit Card,4.41
98,2023-06-06 07:00:00,193,Regular,Home & Garden,1,66.99,0.0,66.99,66.99,Digital Wallet,4.53
99,2023-06-06 08:00:00,237,Regular,Electronics,1,293.26,0.0,293.26,293.26,Credit Card,4.59
100,2023-06-06 08:00:00,387,New,Home & Garden,1,58.07,0.0,58.07,58.07,Credit Card,4.59
101,2023-06-06 08:00:00,426,New,Electronics,1,396.84,0.0,396.84,396.84,Credit Card,3.54
102,2023-06-06 08:00:00,277,Regular,Clothing,1,41.1,0.3,28.77,28.77,Credit Card,4.36
103,2023-06-06 09:00:00,227,Regular,Clothing,1,68.41,0.0,68.41,68.41,Credit Card,4.62
104,2023-06-06 09:00:00,745,Regular,Electronics,1,557.55,0.0,557.55,557.55,Credit Card,3.53
105,2023-06-06 09:00:00,552,Regular,Clothing,1,46.82,0.0,46.82,46.82,Credit Card,3.67
106,2023-06-06 13:00:00,323,Regular,Books,1,35.53,0.0,35.53,39.083000000000006,Credit Card,4.6
107,2023-06-06 14:00:00,153,Regular,Books,1,21.82,0.0,21.82,24.002000000000002,Digital Wallet,4.95
108,2023-06-06 16:00:00,639,Premium,Home & Garden,1,113.17,0.1,101.86,112.046,Credit Card,4.26
109,2023-06-06 16:00:00,237,New,Books,2,22.89,0.1,20.6,45.32000000000001,Cash,5.0
110,2023-06-06 17:00:00,998,Regular,Books,1,33.32,0.0,33.32,36.652,Digital Wallet,4.56
111,2023-06-06 18:00:00,55,New,Sports & Outdoors,1,85.57,0.0,85.57,94.127,Credit Card,3.52
112,2023-06-06 18:00:00,980,Regular,Sports & Outdoors,1,57.07,0.0,57.07,62.77700000000001,Credit Card,4.35
113,2023-06-06 19:00:00,436,Regular,Sports & Outdoors,1,61.65,0.1,55.48,61.028,Credit Card,3.45
114,2023-06-06 20:00:00,684,Premium,Sports & Outdoors,1,35.71,0.0,35.71,35.71,Debit Card,4.35
115,2023-06-06 20:00:00,109,New,Clothing,1,44.23,0.0,44.23,44.23,Debit Card,3.65
116,2023-06-06 21:00:00,866,Premium,Home & Garden,1,116.65,0.0,116.65,116.65,Credit Card,4.15
117,2023-06-06 21:00:00,981,New,Home & Garden,1,67.0,0.0,67.0,67.0,Credit Card,4.47
118,2023-06-06 22:00:00,184,Regular,Books,1,31.36,0.0,31.36,31.36,Debit Card,3.89
119,2023-06-06 22:00:00,951,New,Home & Garden,1,99.86,0.0,99.86,99.86,Credit Card,4.92
120,2023-06-06 22:00:00,368,Premium,Books,1,37.6,0.1,33.84,33.84,Cash,3.91
121,2023-06-06 23:00:00,983,Regular,Home & Garden,1,92.43,0.2,73.94,73.94,Credit Card,3.42
122,2023-06-06 23:00:00,198,Regular,Electronics,2,395.63,0.0,395.63,791.26,Credit Card,3.62
123,2023-06-07 01:00:00,371,Premium,Electronics,1,140.95,0.0,140.95,140.95,Credit Card,4.7
124,2023-06-07 01:00:00,373,New,Home & Garden,3,148.66,0.0,148.66,445.98,Debit Card,3.99
125,2023-06-07 02:00:00,973,New,Clothing,1,69.58,0.0,69.58,69.58,Credit Card,3.83
126,2023-06-07 03:00:00,497,Premium,Books,1,33.44,0.0,33.44,33.44,Credit Card,3.35
127,2023-06-07 03:00:00,599,Regular,Home & Garden,1,0.0,0.0,0.0,0.0,Credit Card,3.94
128,2023-06-07 04:00:00,201,New,Books,1,14.86,0.2,11.89,11.89,Credit Card,4.03
129,2023-06-07 06:00:00,849,Regular,Sports & Outdoors,1,33.84,0.0,33.84,33.84,Debit Card,4.3
130,2023-06-07 07:00:00,509,Regular,Home & Garden,1,124.28,0.0,124.28,124.28,Credit Card,4.2
131,2023-06-07 08:00:00,322,New,Clothing,1,43.48,0.0,43.48,43.48,Digital Wallet,3.69
132,2023-06-07 09:00:00,275,New,Sports & Outdoors,1,47.47,0.1,42.72,42.72,Credit Card,4.19
133,2023-06-07 09:00:00,211,New,Home & Garden,1,91.23,0.0,91.23,91.23,Debit Card,4.81
134,2023-06-07 09:00:00,504,Regular,Electronics,1,479.98,0.1,431.99,431.99,Debit Card,3.49
135,2023-06-07 10:00:00,903,Premium,Home & Garden,1,109.93,0.0,109.93,109.93,Debit Card,3.84
136,2023-06-07 10:00:00,118,Premium,Electronics,1,524.58,0.0,524.58,524.58,Debit Card,3.53
137,2023-06-07 11:00:00,703,Regular,Electronics,1,280.12,0.0,280.12,308.132,Credit Card,3.1
138,2023-06-07 11:00:00,554,New,Home & Garden,1,110.56,0.0,110.56,121.61600000000001,Cash,4.54
139,2023-06-07 12:00:00,42,Premium,Home & Garden,3,111.69,0.1,100.52,331.716,Debit Card,4.05
140,2023-06-07 14:00:00,315,Regular,Electronics,1,417.2,0.0,417.2,458.92,Credit Card,3.02
141,2023-06-07 14:00:00,788,New,Books,1,23.65,0.0,23.65,26.015,Credit Card,4.46
142,2023-06-07 15:00:00,329,Premium,Sports & Outdoors,1,8.92,0.1,8.03,8.833,Credit Card,4.17
143,2023-06-07 16:00:00,17,Regular,Clothing,1,67.82,0.0,67.82,74.602,Debit Card,3.69
144,2023-06-07 17:00:00,283,Regular,Home & Garden,2,66.28,0.0,66.28,145.816,Credit Card,4.16
145,2023-06-07 17:00:00,943,Regular,Sports & Outdoors,1,120.54,0.0,120.54,132.59400000000002,Cash,4.57
146,2023-06-07 18:00:00,258,New,Sports & Outdoors,1,102.62,0.0,102.62,112.88200000000002,Credit Card,3.87
147,2023-06-07 19:00:00,575,New,Books,1,44.19,0.0,44.19,48.609,Debit Card,3.68
148,2023-06-07 20:00:00,574,Regular,Sports & Outdoors,1,22.3,0.0,22.3,22.3,Digital Wallet,3.07
149,2023-06-07 21:00:00,612,New,Home & Garden,2,29.01,0.0,29.01,58.02,Digital Wallet,3.46
150,2023-06-07 21:00:00,19,Regular,Sports & Outdoors,1,7.09,0.2,5.67,5.67,Credit Card,4.38
151,2023-06-07 22:00:00,529,Regular,Home & Garden,1,96.17,0.0,96.17,96.17,Cash,3.43
152,2023-06-08 02:00:00,837,Regular,Home & Garden,1,167.58,0.0,167.58,167.58,Cash,3.63
153,2023-06-08 02:00:00,423,Regular,Electronics,2,319.44,0.0,319.44,638.88,Cash,4.71
154,2023-06-08 03:00:00,466,Regular,Books,2,33.36,0.0,33.36,66.72,Digital Wallet,4.79
155,2023-06-08 05:00:00,373,Premium,Clothing,1,22.14,0.0,22.14,22.14,Digital Wallet,3.78
156,2023-06-08 06:00:00,758,Regular,Electronics,1,746.12,0.0,746.12,746.12,Debit Card,3.17
157,2023-06-08 07:00:00,763,New,Clothing,1,28.53,0.1,25.68,25.68,Digital Wallet,3.84
158,2023-06-08 08:00:00,967,New,Home & Garden,1,111.5,0.0,111.5,111.5,Debit Card,4.84
159,2023-06-08 10:00:00,81,Regular,Electronics,1,315.06,0.0,315.06,315.06,Debit Card,3.79
160,2023-06-08 10:00:00,551,New,Sports & Outdoors,1,111.79,0.0,111.79,111.79,Debit Card,4.58
161,2023-06-08 11:00:00,548,New,Sports & Outdoors,1,40.48,0.0,40.48,44.528,Cash,3.77
162,2023-06-08 14:00:00,424,New,Clothing,1,49.12,0.0,49.12,54.032000000000004,Credit Card,4.95
163,2023-06-08 14:00:00,429,Regular,Home & Garden,1,98.26,0.0,98.26,108.08600000000001,Digital Wallet,3.86
164,2023-06-08 15:00:00,388,Premium,Clothing,1,58.17,0.0,58.17,63.98700000000001,Credit Card,3.26
165,2023-06-08 16:00:00,998,New,Books,1,42.48,0.0,42.48,46.728,Credit Card,4.08
166,2023-06-08 18:00:00,921,Regular,Sports & Outdoors,1,33.8,0.0,33.8,37.18,Credit Card,3.83
167,2023-06-08 18:00:00,709,Regular,Electronics,3,436.04,0.0,436.04,1438.932,Credit Card,4.07
168,2023-06-08 18:00:00,670,New,Electronics,1,296.41,0.0,296.41,326.05100000000004,Cash,3.47
169,2023-06-08 19:00:00,204,Premium,Electronics,1,577.21,0.0,577.21,634.931,Credit Card,3.63
170,2023-06-08 21:00:00,196,Regular,Sports & Outdoors,2,93.65,0.0,93.65,187.3,Debit Card,3.75
171,2023-06-08 22:00:00,728,Regular,Home & Garden,3,30.27,0.1,27.24,81.72,Credit Card,3.96
172,2023-06-08 23:00:00,285,Regular,Sports & Outdoors,2,86.08,0.0,86.08,172.16,Cash,4.1
173,2023-06-08 23:00:00,969,New,Sports & Outdoors,1,100.02,0.3,70.01,70.01,Digital Wallet,4.94
174,2023-06-08 23:00:00,196,Regular,Electronics,2,668.78,0.0,668.78,1337.56,Credit Card,2.44
175,2023-06-09 00:00:00,307,New,Sports & Outdoors,2,6.39,0.0,6.39,12.78,Credit Card,4.68
176,2023-06-09 00:00:00,664,Premium,Electronics,1,0.0,0.0,0.0,0.0,Debit Card,4.7
177,2023-06-09 01:00:00,14,Regular,Home & Garden,1,70.65,0.0,70.65,70.65,Debit Card,3.97
178,2023-06-09 01:00:00,837,Regular,Books,2,23.62,0.0,23.62,47.24,Credit Card,4.1
179,2023-06-09 01:00:00,146,New,Electronics,3,643.87,0.0,643.87,1931.61,Cash,1.93
180,2023-06-09 02:00:00,938,Regular,Clothing,1,51.41,0.0,51.41,51.41,Digital Wallet,5.0
181,2023-06-09 02:00:00,57,Regular,Books,1,2.46,0.0,2.46,2.46,Credit Card,4.06
182,2023-06-09 02:00:00,723,Regular,Home & Garden,1,101.19,0.0,101.19,101.19,Cash,4.62
183,2023-06-09 03:00:00,780,Regular,Books,1,24.17,0.2,19.34,19.34,Credit Card,4.29
184,2023-06-09 04:00:00,210,Regular,Electronics,1,543.95,0.0,543.95,543.95,Debit Card,3.41
185,2023-06-09 05:00:00,529,Premium,Home & Garden,1,102.3,0.0,102.3,102.3,Debit Card,4.33
186,2023-06-09 06:00:00,798,Regular,Clothing,1,70.29,0.0,70.29,70.29,Credit Card,3.89
187,2023-06-09 08:00:00,344,Premium,Electronics,2,737.69,0.0,737.69,1475.38,Credit Card,2.34
188,2023-06-09 09:00:00,715,Premium,Electronics,1,338.73,0.0,338.73,338.73,Credit Card,3.65
189,2023-06-09 09:00:00,611,Regular,Home & Garden,1,152.57,0.0,152.57,152.57,Digital Wallet,3.29
190,2023-06-09 11:00:00,279,New,Home & Garden,1,87.86,0.0,87.86,96.646,Cash,3.66
191,2023-06-09 12:00:00,209,Regular,Books,1,36.96,0.0,36.96,40.656000000000006,Debit Card,3.86
192,2023-06-09 12:00:00,641,Premium,Clothing,2,40.74,0.0,40.74,89.62800000000001,Debit Card,4.21
193,2023-06-09 13:00:00,335,New,Books,1,20.14,0.0,20.14,22.154000000000003,Debit Card,3.88
194,2023-06-09 13:00:00,288,Regular,Books,1,29.78,0.0,29.78,32.758,Credit Card,3.57
195,2023-06-09 14:00:00,252,Premium,Electronics,1,550.43,0.0,550.43,605.473,Digital Wallet,3.49
196,2023-06-09 15:00:00,265,Regular,Home & Garden,1,131.17,0.0,131.17,144.287,Debit Card,4.36
197,2023-06-09 15:00:00,271,Regular,Electronics,1,362.39,0.0,362.39,398.629,Credit Card,2.99
198,2023-06-09 15:00:00,924,New,Clothing,1,48.16,0.0,48.16,52.976,Credit Card,4.16
199,2023-06-09 23:00:00,920,New,Books,1,37.49,0.0,37.49,37.49,Cash,4.55
200,2023-06-09 23:00:00,700,Regular,Clothing,3,28.82,0.1,25.94,77.82,Credit Card,4.43
201,2023-06-10 03:00:00,419,New,Home & Garden,1,101.82,0.0,101.82,122.18399999999998,Cash,3.47
202,2023-06-10 03:00:00,726,New,Home & Garden,1,102.55,0.0,102.55,123.05999999999999,Credit Card,4.19
203,2023-06-10 03:00:00,795,Premium,Sports & Outdoors,3,69.19,0.0,69.19,249.08399999999997,Debit Card,4.12
204,2023-06-10 04:00:00,211,Regular,Clothing,1,0.0,0.0,0.0,0.0,Credit Card,4.3
205,2023-06-10 04:00:00,365,Premium,Electronics,1,300.89,0.0,300.89,361.068,Digital Wallet,3.79
206,2023-06-10 07:00:00,76,Premium,Clothing,1,55.49,0.0,55.49,66.588,Debit Card,3.13
207,2023-06-10 08:00:00,660,New,Books,1,13.4,0.0,13.4,16.08,Credit Card,4.12
208,2023-06-10 09:00:00,321,New,Home & Garden,1,41.87,0.0,41.87,50.24399999999999,Credit Card,4.64
209,2023-06-10 09:00:00,725,Regular,Home & Garden,2,168.3,0.0,168.3,403.92,Credit Card,4.69
210,2023-06-10 10:00:00,433,Regular,Clothing,1,100.33,0.3,70.23,84.276,Digital Wallet,5.0
211,2023-06-10 10:00:00,109,New,Clothing,1,62.7,0.2,50.16,60.19199999999999,Digital Wallet,4.55
212,2023-06-10 10:00:00,641,Regular,Clothing,1,55.66,0.0,55.66,66.79199999999999,Digital Wallet,4.49
213,2023-06-10 10:00:00,522,New,Books,2,24.02,0.0,24.02,57.647999999999996,Credit Card,4.46
214,2023-06-10 12:00:00,47,Premium,Books,1,16.98,0.2,13.58,17.9256,Debit Card,4.49
215,2023-06-10 15:00:00,379,New,Electronics,2,619.63,0.1,557.67,1472.2488,Cash,4.07
216,2023-06-10 16:00:00,827,New,Clothing,2,40.77,0.0,40.77,107.6328,Digital Wallet,3.84
217,2023-06-10 18:00:00,96,New,Electronics,1,621.07,0.0,621.07,819.8124,Credit Card,3.24
218,2023-06-10 18:00:00,958,Premium,Sports & Outdoors,1,62.36,0.2,49.89,65.8548,Debit Card,4.98
219,2023-06-10 20:00:00,103,Regular,Books,2,36.21,0.1,32.59,78.21600000000001,Digital Wallet,3.91
220,2023-06-10 21:00:00,892,Premium,Home & Garden,2,80.53,0.0,80.53,193.272,Debit Card,3.44
221,2023-06-10 21:00:00,854,Regular,Sports & Outdoors,2,86.68,0.0,86.68,208.032,Credit Card,3.61
222,2023-06-10 22:00:00,146,Regular,Home & Garden,3,80.69,0.0,80.69,290.484,Credit Card,4.33
223,2023-06-10 22:00:00,880,New,Sports & Outdoors,2,130.65,0.0,130.65,313.56,Cash,5.0
224,2023-06-11 00:00:00,942,Regular,Electronics,1,723.56,0.0,723.56,868.2719999999999,Credit Card,3.74
225,2023-06-11 00:00:00,928,Regular,Electronics,1,728.91,0.0,728.91,874.6919999999999,Credit Card,3.52
226,2023-06-11 01:00:00,27,Regular,Books,2,28.76,0.0,28.76,69.024,Digital Wallet,4.97
227,2023-06-11 01:00:00,732,New,Home & Garden,1,102.1,0.1,91.89,110.268,Debit Card,4.42
228,2023-06-11 01:00:00,530,Premium,Sports & Outdoors,2,74.09,0.0,74.09,177.816,Cash,3.81
229,2023-06-11 01:00:00,679,New,Clothing,1,51.04,0.0,51.04,61.248,Credit Card,4.12
230,2023-06-11 02:00:00,945,Premium,Clothing,1,52.23,0.0,52.23,62.675999999999995,Digital Wallet,4.01
231,2023-06-11 03:00:00,989,New,Books,1,26.26,0.0,26.26,31.512,Credit Card,3.71
232,2023-06-11 03:00:00,82,Regular,Home & Garden,1,16.91,0.0,16.91,20.291999999999998,Credit Card,4.1
233,2023-06-11 04:00:00,428,Regular,Clothing,1,42.96,0.0,42.96,51.552,Credit Card,3.38
234,2023-06-11 04:00:00,584,Regular,Books,1,29.26,0.0,29.26,35.112,Debit Card,4.02
235,2023-06-11 06:00:00,822,Regular,Books,1,34.83,0.0,34.83,41.796,Debit Card,4.13
236,2023-06-11 06:00:00,479,Regular,Home & Garden,3,61.54,0.0,61.54,221.544,Debit Card,4.05
237,2023-06-11 09:00:00,766,Regular,Clothing,1,46.7,0.0,46.7,56.04,Credit Card,5.0
238,2023-06-11 09:00:00,162,Regular,Clothing,1,35.83,0.3,25.08,30.095999999999997,Debit Card,4.87
239,2023-06-11 10:00:00,839,Regular,Clothing,1,44.69,0.2,35.76,42.912,Credit Card,5.0
240,2023-06-11 10:00:00,932,Premium,Electronics,1,558.77,0.1,502.89,603.468,Credit Card,2.9
241,2023-06-11 10:00:00,402,New,Clothing,2,65.26,0.0,65.26,156.624,Debit Card,4.57
242,2023-06-11 13:00:00,508,Regular,Sports & Outdoors,2,108.19,0.0,108.19,285.62160000000006,Credit Card,4.17
243,2023-06-11 13:00:00,38,Regular,Electronics,1,765.35,0.1,688.82,909.2424000000001,Debit Card,3.23
244,2023-06-11 14:00:00,955,Regular,Electronics,3,149.03,0.0,149.03,590.1587999999999,Debit Card,3.34
245,2023-06-11 14:00:00,511,Regular,Electronics,2,167.5,0.0,167.5,442.20000000000005,Credit Card,4.15
246,2023-06-11 15:00:00,393,Regular,Electronics,3,464.49,0.2,371.59,1471.4964,Digital Wallet,5.0
247,2023-06-11 16:00:00,713,New,Books,1,25.93,0.0,25.93,34.2276,Debit Card,4.41
248,2023-06-11 16:00:00,494,New,Sports & Outdoors,1,132.5,0.0,132.5,174.9,Credit Card,4.0
249,2023-06-11 18:00:00,200,New,Home & Garden,3,107.77,0.0,107.77,426.7692,Debit Card,4.14
250,2023-06-11 21:00:00,255,Regular,Clothing,1,54.75,0.3,38.33,45.995999999999995,Debit Card,5.0
251,2023-06-11 22:00:00,179,Regular,Electronics,1,261.99,0.0,261.99,314.388,Digital Wallet,4.61
